spec,comb,test,down,solutions,limit_test,limit_down,limit_solutions
4508266383221463582,11871522780173434607,14,8,2,14,8,2
4508266383221463582,7961151471083848655,14,7,1,14,8,2
4508266383221463582,9907127745160836775,22,10,2,22,12,4
4508266383221463582,14696297025090193322,22,10,2,22,12,4
4508266383221463582,18387860139792047690,26,14,4,26,14,4
4508266383221463582,5856198991986604457,26,12,2,26,14,4
4508266383221463582,15861483196525139553,42,18,4,42,22,8
4508266383221463582,17471456760654050195,42,18,4,42,22,8
4508266383221463582,15786371746276086785,28,16,4,28,16,4
4508266383221463582,8703768238146895835,28,14,2,28,16,4
4508266383221463582,16632910022995741870,44,20,4,44,24,8
4508266383221463582,1319992477807027015,44,20,4,44,24,8
4508266383221463582,9581802723584445816,52,28,8,52,28,8
4508266383221463582,198170937666578798,52,24,4,52,28,8
4508266383221463582,18047859571204980094,84,36,8,84,44,16
4508266383221463582,8572321140509640205,84,36,8,84,44,16
14344353946717977942,11871522780173434607,14,8,2,14,8,2
14344353946717977942,9907127745160836775,18,8,2,18,10,4
14344353946717977942,7961151471083848655,14,7,1,14,8,2
14344353946717977942,14696297025090193322,18,8,2,18,10,4
14344353946717977942,18387860139792047690,26,14,4,26,14,4
14344353946717977942,15861483196525139553,34,14,4,34,18,8
14344353946717977942,5856198991986604457,26,12,2,26,14,4
14344353946717977942,17471456760654050195,34,14,4,34,18,8
14344353946717977942,15786371746276086785,28,16,4,28,16,4
14344353946717977942,16632910022995741870,36,16,4,36,20,8
14344353946717977942,8703768238146895835,28,14,2,28,16,4
14344353946717977942,1319992477807027015,36,16,4,36,20,8
14344353946717977942,9581802723584445816,52,28,8,52,28,8
14344353946717977942,18047859571204980094,68,28,8,68,36,16
14344353946717977942,198170937666578798,52,24,4,52,28,8
14344353946717977942,8572321140509640205,68,28,8,68,36,16
16297046975358952778,11871522780173434607,18,10,2,22,14,4
16297046975358952778,7961151471083848655,18,9,1,22,14,4
16297046975358952778,18387860139792047690,30,14,4,38,22,8
16297046975358952778,5856198991986604457,30,12,2,38,22,8
16297046975358952778,9907127745160836775,34,16,2,42,26,8
16297046975358952778,14696297025090193322,34,16,2,42,26,8
16297046975358952778,15861483196525139553,58,22,4,74,42,16
16297046975358952778,17471456760654050195,58,22,4,74,42,16
16297046975358952778,15786371746276086785,36,20,4,44,28,8
16297046975358952778,8703768238146895835,36,18,2,44,28,8
16297046975358952778,9581802723584445816,60,28,8,76,44,16
16297046975358952778,198170937666578798,60,24,4,76,44,16
16297046975358952778,16632910022995741870,68,32,4,84,52,16
16297046975358952778,1319992477807027015,68,32,4,84,52,16
16297046975358952778,18047859571204980094,116,44,8,148,84,32
